,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,mg
1302,68294309333614720,55.817153216639184,24.37432781860659,7.456152521617411,22.62016362367808,-45.25905954512522,,3.2696934,19.025648,13.38822203347003
1303,68183125516472320,55.11009507905275,24.08977026619689,6.68292829930889,18.649107227160474,-41.99640669944889,,2.631671,15.538248,9.66308207029487
1304,68199270297901952,54.791173406961256,23.98112208872836,7.548393904420584,20.71944523767668,-44.88060251013039,,3.2731647,18.674467,13.063739863051254
1305,68175806892217216,54.94318450091718,23.98123806679467,7.387778052935217,20.809804052689746,-44.59328362237218,,2.6468468,15.558646,9.90121540052412
1306,68170721650939264,55.07859448927188,23.90637863193692,7.438562249640411,20.988442470242333,-46.77717470918746,,2.9540339,16.688633,11.046077973874148
1307,68325649711754880,55.77315195646161,24.82441747200703,7.214996616070393,18.623540679891143,-46.73688499530671,,2.5287046,14.440887,8.73206810987017
1308,68232191222851456,55.02968575224224,24.21745658558201,7.285566392405198,21.10983412573137,-46.698993328493714,,3.2724953,17.728218,12.040534679688571
1309,68371721825058816,55.5751302791592,24.91930520396599,7.380834924826136,19.39928544453975,-43.70893362068885,,2.9254246,20.102419,14.44294636091087
1310,68318086273228416,55.75079995205478,24.73108873720608,8.019973314095463,20.4289720982453,-49.38295672413704,,2.2256641,20.427282,14.94814694938314
1311,68345956317106688,55.01510180526755,24.50064008713409,8.03524214191262,22.280151323739965,-48.5646425067937,,2.709834,15.746865,10.271860116296304
1312,68236795427794816,54.88472731394781,24.266870323546343,7.090086697389721,19.62389778686165,-45.61549122694318,,2.8904066,16.151382,10.404640175073045
1313,68152820227358720,55.26255807160009,23.7224853783673,7.46682629972292,20.545414835943745,-45.19820706317909,,2.7223368,15.810461,10.176141286724013
1314,68174191984522368,54.92805756157393,23.907556658667687,7.548557873929406,20.86247286708818,-44.89624831187939,,2.938428,16.321098,10.71041827305564
1315,68232603539842944,54.98011326115833,24.214902494903164,7.838339024959847,22.25642852951828,-46.91891019380805,,3.230608,17.724627,12.19574675971434
1316,68310561489710336,55.72974253767833,24.49287507302488,7.194996006933928,21.23009940602011,-45.10419640940408,6.611129381816382,0.6653547,9.363033,3.648186080921299
1317,68263145050803840,55.50162138419503,24.17006666208936,7.392485802315674,21.23518750922092,-45.81048873178079,,3.396471,18.597599,12.941551525101032
1318,68145707761492608,54.96121431051758,23.764408748782216,7.08855406352207,20.84659268265264,-43.44715465345348,,3.3077316,17.815897,12.068685268008338
1319,68296886313838848,56.01485492190356,24.504048116016957,7.378027754105461,22.32333093264816,-45.72743195815646,1.265316257699757,0.9138651,10.528545,4.868246802588246
